folio;departamento;n_hogar;s8_01;s8_02;s8_02e;s8_03;s8_04;s8_05;s8_05e;s8_06;s8_07;s8_07e;s8_08;s8_08e;s8_09;s8_09e;s8_10;s8_11;s8_12;s8_13;s8_14;s8_15;s8_16;s8_163;s8_171a;s8_171b;s8_172a;s8_172b;s8_173a;s8_173b;s8_174a;s8_174b;s8_174e;s8_181a;s8_181b;s8_182a;s8_182b;s8_183a;s8_183b;s8_184a;s8_184b;s8_185a;s8_185b;s8_185e;s8_19;s8_20;s8_21;s8_22;s8_23;s8_24;s8_25;s8_26;s8_27;s8_28;upm;estrato;area;factor_ant;factor
"10053020241";1;"1";1;2;"";;35;2;"";1;4;"";1;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;2;1;2;;2;;2;"100530602";"31";2;223;223
"10075010011";1;"1";1;2;"";;40;2;"";1;2;"";5;"";6;"";0;6;;;1;20;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;2;2;;2;;2;"100750301";"31";2;434;433
"10075010041";1;"1";1;2;"";;20;2;"";1;2;"";5;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;1;1;2;;2;;2;"100750301";"31";2;434;433
"10075010071";1;"1";1;2;"";;50;2;"";1;2;"";5;"";6;"";0;6;;;1;20;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;1;2;;2;;2;"100750301";"31";2;434;433
"10075010101";1;"1";4;4;"";;50;2;"";1;1;"";5;"";6;"";0;6;;;1;0;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;4;30;1;0;2;;2;;2;"100750301";"31";2;434;433
"10075010121";1;"1";1;2;"";;30;2;"";1;1;"";5;"";6;"";0;6;;;1;20;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;30;4;2;2;;2;;2;"100750301";"31";2;434;433
"10075010151";1;"1";1;2;"";;50;2;"";1;2;"";5;"";6;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100750301";"31";2;434;433
"10075010181";1;"1";1;2;"";;30;3;"";1;2;"";1;"";8;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;2;2;;2;;2;"100750301";"31";2;434;433
"10075010211";1;"1";1;2;"";;30;2;"";1;2;"";5;"";6;"";0;6;;;2;;1;"";1;100;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;3;1;2;;2;;2;"100750301";"31";2;434;433
"10075010241";1;"1";1;2;"";;35;2;"";1;2;"";5;"";6;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100750301";"31";2;434;433
"10075010271";1;"1";1;2;"";;25;2;"";1;2;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;4;1;2;;2;;2;"100750301";"31";2;434;433
"10075010291";1;"1";1;2;"";;60;2;"";2;2;"";1;"";6;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;5;3;2;;2;;2;"100750301";"31";2;434;433
"10075010321";1;"1";1;2;"";;40;2;"";1;2;"";1;"";6;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;2;2;;2;;2;"100750301";"31";2;434;433
"10076020011";1;"1";1;2;"";;40;2;"";1;2;"";1;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100760302";"31";2;319;318
"10076020041";1;"1";1;2;"";;40;2;"";1;2;"";5;"";6;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;1;1;2;;2;;2;"100760302";"31";2;319;318
"10076020071";1;"1";1;2;"";;35;2;"";1;2;"";5;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100760302";"31";2;319;318
"10076020101";1;"1";1;2;"";;30;2;"";1;4;"";1;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;1;1;2;;2;;2;"100760302";"31";2;319;318
"10076020131";1;"1";1;2;"";;30;2;"";1;2;"";5;"";6;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100760302";"31";2;319;318
"10076020161";1;"1";1;2;"";;50;2;"";1;2;"";5;"";6;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;2;2;;2;;2;"100760302";"31";2;319;318
"10076020191";1;"1";1;2;"";;50;2;"";1;2;"";1;"";6;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;1;1;2;;2;;2;"100760302";"31";2;319;318
"10076020221";1;"1";1;2;"";;30;2;"";1;2;"";5;"";6;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;2;1;2;;2;;2;"100760302";"31";2;319;318
"10076020251";1;"1";1;2;"";;50;2;"";1;2;"";5;"";6;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;1;1;2;;2;;2;"100760302";"31";2;319;318
"10076020281";1;"1";1;2;"";;30;2;"";1;2;"";1;"";6;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;1;1;2;;2;;2;"100760302";"31";2;319;318
"10076020311";1;"1";1;2;"";;45;2;"";1;2;"";5;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;2;2;2;;2;;2;"100760302";"31";2;319;318
"10076020341";1;"1";1;2;"";;30;2;"";2;4;"";1;"";6;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;2;2;;2;;2;"100760302";"31";2;319;318
"10086100011";1;"1";1;2;"";;50;2;"";1;4;"";5;"";8;"";0;6;;;2;;3;"";1;50;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100860110";"31";2;417;416
"10086100031";1;"1";1;2;"";;50;2;"";1;4;"";1;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;5;1;2;;2;;2;"100860110";"31";2;417;416
"10086100041";1;"1";1;2;"";;40;2;"";2;4;"";5;"";8;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100860110";"31";2;417;416
"10086100061";1;"1";1;1;"";50;;2;"";2;4;"";1;"";8;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;2;1;1;1;2;;2;"100860110";"31";2;417;416
"10086100071";1;"1";1;2;"";;50;2;"";2;4;"";1;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;4;1;2;;2;;2;"100860110";"31";2;417;416
"10086100091";1;"1";1;2;"";;30;2;"";2;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;3;1;2;;2;;2;"100860110";"31";2;417;416
